OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962638,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962639,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962640,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962641,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962642,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962643,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794003,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962644,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962645,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962646,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962647,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962648,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962649,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,GWR001      ,RT,PFL-35562794004,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962650,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962651,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962652,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962653,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962654,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962655,NWDO,ASHLAND,OH0333112   ,AMERICAN AUGERS,A,352734,1491,AMERICAN AUGERS,EP001       ,RT,PFL-35562796002,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962656,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
